Sigla;Tipo;Tipo2;Natureza;Universidade;Descrição;Região;Estado;Cidade Sede;Título;nome_curto;Região no Portal;Estado Nome;Estado no Portal;Onde criar;TAGs
UFPR;Universidade;Federal;Pública;Universidade Federal do Paraná;Universidade Federal do Paraná (UFPR), localizada em Curitiba - PR, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Sul;PR;Curitiba;UFPR - Universidade Federal do Paraná;ufpr;Região Sul;Paraná;Paraná (PR);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_sul/parana;"Região Sul ; Paraná ; UFPR ; Universidade ; Federal ; Pública"
UNILA;Universidade;Federal;Pública;Universidade Federal da Integração Latino-Americana;Universidade Federal da Integração Latino-Americana (UNILA), localizada em Foz do Iguaçu - PR, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Sul;PR;Foz do Iguaçu;UNILA - Universidade Federal da Integração Latino-Americana;unila;Região Sul;Paraná;Paraná (PR);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_sul/parana;"Região Sul ; Paraná ; UNILA ; Universidade ; Federal ; Pública"
UTFPR;Universidade;Federal;Pública;Universidade Tecnológica Federal do Paraná;Universidade Tecnológica Federal do Paraná (UTFPR), localizada em Curitiba - PR, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Sul;PR;Curitiba;UTFPR - Universidade Tecnológica Federal do Paraná;utfpr;Região Sul;Paraná;Paraná (PR);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_sul/parana;"Região Sul ; Paraná ; UTFPR ; Universidade ; Federal ; Pública"
UFAPE;Universidade;Federal;Pública;Universidade Federal do Agreste de Pernambuco;Universidade Federal do Agreste de Pernambuco (UFAPE), localizada em Garanhuns - PE, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Nordeste;PE;Garanhuns;UFAPE - Universidade Federal do Agreste de Pernambuco;ufape;Região Nordeste;Pernambuco;Pernambuco (PE);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_nordeste/pernambuco;"Região Nordeste ; Pernambuco ; UFAPE ; Universidade ; Federal ; Pública"
UFPE;Universidade;Federal;Pública;Universidade Federal de Pernambuco;Universidade Federal de Pernambuco (UFPE), localizada em Recife - PE, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Nordeste;PE;Recife;UFPE - Universidade Federal de Pernambuco;ufpe;Região Nordeste;Pernambuco;Pernambuco (PE);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_nordeste/pernambuco;"Região Nordeste ; Pernambuco ; UFPE ; Universidade ; Federal ; Pública"
UFRPE;Universidade;Federal;Pública;Universidade Federal Rural de Pernambuco;Universidade Federal Rural de Pernambuco (UFRPE), localizada em Recife - PE, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Nordeste;PE;Recife;UFRPE - Universidade Federal Rural de Pernambuco;ufrpe;Região Nordeste;Pernambuco;Pernambuco (PE);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_nordeste/pernambuco;"Região Nordeste ; Pernambuco ; UFRPE ; Universidade ; Federal ; Pública"
UNIVASF;Universidade;Federal;Pública;Fundação Universidade Federal do Vale do São Francisco;Fundação Universidade Federal do Vale do São Francisco (UNIVASF), localizada em Petrolina - PE, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Nordeste;PE;Petrolina;UNIVASF - Fundação Universidade Federal do Vale do São Francisco;univasf;Região Nordeste;Pernambuco;Pernambuco (PE);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_nordeste/pernambuco;"Região Nordeste ; Pernambuco ; UNIVASF ; Universidade ; Federal ; Pública"
UFDPAR;Universidade;Federal;Pública;Universidade Federal do Delta do Parnaíba;Universidade Federal do Delta do Parnaíba (UFDPAR), localizada em Parnaíba - PI, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Nordeste;PI;Parnaíba;UFDPAR - Universidade Federal do Delta do Parnaíba;ufdpar;Região Nordeste;Piauí;Piauí (PI);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_nordeste/piaui;"Região Nordeste ; Piauí ; UFDPAR ; Universidade ; Federal ; Pública"
UFPI;Universidade;Federal;Pública;Universidade Federal do Piauí;Universidade Federal do Piauí (UFPI), localizada em Teresina - PI, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Nordeste;PI;Teresina;UFPI - Universidade Federal do Piauí;ufpi;Região Nordeste;Piauí;Piauí (PI);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_nordeste/piaui;"Região Nordeste ; Piauí ; UFPI ; Universidade ; Federal ; Pública"
CEFET_RJ;Centro de Educação Tecnológica;Federal;Pública;Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;Centro Federal de Educação Tecnológica Celso Suckow da Fonseca (CEFET_RJ), localizada em Rio de Janeiro - RJ, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Sudeste;RJ;Rio de Janeiro;CEFET RJ - Centro Federal de Educação Tecnológica Celso Suckow da Fonseca;cefet_rj;Região Sudeste;Rio de Janeiro;Rio de Janeiro (RJ);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_sudeste/rio_de_janeiro;"Região Sudeste ; Rio de Janeiro ; CEFET_RJ ; Centro de Educação Tecnológica ; Federal ; Pública"
UFF;Universidade;Federal;Pública;Universidade Federal Fluminense;Universidade Federal Fluminense (UFF), localizada em Niterói - RJ, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Sudeste;RJ;Niterói;UFF - Universidade Federal Fluminense;uff;Região Sudeste;Rio de Janeiro;Rio de Janeiro (RJ);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_sudeste/rio_de_janeiro;"Região Sudeste ; Rio de Janeiro ; UFF ; Universidade ; Federal ; Pública"
UFRJ;Universidade;Federal;Pública;Universidade Federal do Rio de Janeiro;Universidade Federal do Rio de Janeiro (UFRJ), localizada em Rio de Janeiro - RJ, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Sudeste;RJ;Rio de Janeiro;UFRJ - Universidade Federal do Rio de Janeiro;ufrj;Região Sudeste;Rio de Janeiro;Rio de Janeiro (RJ);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_sudeste/rio_de_janeiro;"Região Sudeste ; Rio de Janeiro ; UFRJ ; Universidade ; Federal ; Pública"
UFRRJ;Universidade;Federal;Pública;Universidade Federal Rural do Rio de Janeiro;Universidade Federal Rural do Rio de Janeiro (UFRRJ), localizada em Seropédica - RJ, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Sudeste;RJ;Seropédica;UFRRJ - Universidade Federal Rural do Rio de Janeiro;ufrrj;Região Sudeste;Rio de Janeiro;Rio de Janeiro (RJ);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_sudeste/rio_de_janeiro;"Região Sudeste ; Rio de Janeiro ; UFRRJ ; Universidade ; Federal ; Pública"
UNIRIO;Universidade;Federal;Pública;Universidade Federal do Estado do Rio de Janeiro;Universidade Federal do Estado do Rio de Janeiro (UNIRIO), localizada em Rio de Janeiro - RJ, oferece ensino superior, pesquisa e extensão de excelência no Brasil.;Sudeste;RJ;Rio de Janeiro;UNIRIO - Universidade Federal do Estado do Rio de Janeiro;unirio;Região Sudeste;Rio de Janeiro;Rio de Janeiro (RJ);https://www.gov.br/studyinbrazil/pt-br/instituicoes_brasileiras/regiao_sudeste/rio_de_janeiro;"Região Sudeste ; Rio de Janeiro ; UNIRIO ; Universidade ; Federal ; Pública"
